ID,RA,Decl,I,V,P_1
OGLE-SMC-CEP-0256,00:37:31.09,-73:45:54.9,17.064,17.723,1.4145652
OGLE-SMC-CEP-0257,00:37:32.22,-74:03:49.5,16.64,17.074,1.7181330000000001
OGLE-SMC-CEP-0262,00:37:35.42,-74:07:59.6,17.090999999999998,17.793,1.5990027
OGLE-SMC-CEP-0263,00:37:35.61,-74:34:43.6,16.695999999999998,17.272000000000002,1.7406743999999998
OGLE-SMC-CEP-0265,00:37:40.74,-74:12:23.8,17.063,17.709,1.6622302
OGLE-SMC-CEP-0266,00:37:40.98,-73:43:05.4,17.32,18.006,1.3881620000000001
OGLE-SMC-CEP-0268,00:37:41.67,-74:45:31.5,17.402,17.98,1.203027
OGLE-SMC-CEP-0270,00:37:44.42,-74:14:48.7,16.307000000000002,16.942999999999998,2.660139
OGLE-SMC-CEP-0271,00:37:57.50,-74:02:51.2,15.577,-99.99,3.6764741
OGLE-SMC-CEP-0272,00:37:58.83,-73:10:24.0,16.445,17.115,2.1028519
OGLE-SMC-CEP-0273,00:38:00.96,-74:09:42.0,17.253,17.852999999999998,1.3570585
OGLE-SMC-CEP-0274,00:38:01.05,-73:34:32.9,17.125,17.704,1.4230201
OGLE-SMC-CEP-0276,00:38:11.54,-73:25:00.7,16.998,17.587,1.2691941999999998
OGLE-SMC-CEP-0277,00:38:13.87,-73:43:56.3,17.449,18.073,1.1289312
OGLE-SMC-CEP-0279,00:38:15.97,-73:58:41.1,17.622,18.107,1.1785503000000002
OGLE-SMC-CEP-0282,00:38:16.98,-73:48:52.9,14.487,15.174000000000001,8.495530699999998
OGLE-SMC-CEP-0283,00:38:18.88,-73:31:32.1,12.877,13.922,36.962496
OGLE-SMC-CEP-0284,00:38:24.45,-73:52:55.3,17.343,-99.99,1.2254628
OGLE-SMC-CEP-0289,00:38:35.76,-73:57:24.0,14.686,15.474,7.939876700000001
OGLE-SMC-CEP-0291,00:38:38.02,-74:27:29.6,16.523,17.149,1.5438671999999998
OGLE-SMC-CEP-0292,00:38:44.67,-72:47:12.9,17.529,18.166,1.0275014
OGLE-SMC-CEP-0297,00:38:57.08,-73:48:47.7,16.575,17.227999999999998,2.1131968999999997
OGLE-SMC-CEP-0298,00:38:58.37,-73:59:42.4,16.119,16.788,2.7698708
OGLE-SMC-CEP-0299,00:38:58.48,-73:48:31.9,16.605,17.195,2.1311588
OGLE-SMC-CEP-0302,00:39:04.30,-73:16:52.6,15.809000000000001,16.535999999999998,3.4892496
OGLE-SMC-CEP-0303,00:39:05.16,-72:47:12.4,16.522000000000002,17.208,1.9997508000000002
OGLE-SMC-CEP-0304,00:39:08.83,-72:58:39.7,16.337,17.016,2.1859772
OGLE-SMC-CEP-0306,00:39:10.51,-72:42:55.9,16.634,17.230999999999998,1.8021762
OGLE-SMC-CEP-0311,00:39:21.09,-73:46:47.6,17.267,17.903,1.3689305
OGLE-SMC-CEP-0313,00:39:29.06,-73:41:56.7,17.272000000000002,17.879,1.2162361000000002
OGLE-SMC-CEP-0316,00:39:30.83,-74:15:48.4,17.764,18.375999999999998,0.9943989
OGLE-SMC-CEP-0320,00:39:33.82,-73:44:54.4,13.414000000000001,14.161,17.9433575
OGLE-SMC-CEP-0322,00:39:36.51,-73:39:04.2,17.098,17.708,1.2652782
OGLE-SMC-CEP-0323,00:39:36.80,-73:34:54.5,17.385,18.017,1.274385
OGLE-SMC-CEP-0327,00:39:42.60,-74:27:56.9,17.308,17.833,1.3253325
OGLE-SMC-CEP-0329,00:39:43.86,-74:20:44.8,15.866,16.555999999999997,3.5829729
OGLE-SMC-CEP-0332,00:39:48.31,-73:54:55.5,16.871,17.396,1.4805104
OGLE-SMC-CEP-0333,00:39:49.52,-74:31:05.4,16.24,16.956,3.6493644
OGLE-SMC-CEP-0334,00:39:50.10,-73:29:57.4,16.834,17.369,1.4720103
OGLE-SMC-CEP-0336,00:39:56.93,-73:01:18.6,16.635,17.361,1.8829596000000002
OGLE-SMC-CEP-0338,00:39:59.99,-73:55:36.6,15.665,16.397000000000002,5.9734590999999995
OGLE-SMC-CEP-0339,00:40:00.04,-73:29:56.7,16.539,17.08,1.6526553
OGLE-SMC-CEP-0343,00:40:08.58,-72:41:30.8,17.441,18.000999999999998,1.2054234
OGLE-SMC-CEP-0344,00:40:09.34,-74:21:15.4,17.213,17.867,1.3834497
OGLE-SMC-CEP-0346,00:40:13.63,-73:41:37.4,16.035999999999998,16.741,3.7624229
OGLE-SMC-CEP-0347,00:40:14.30,-74:06:38.1,17.454,18.098,1.3673883
OGLE-SMC-CEP-0349,00:40:19.95,-73:00:52.5,16.971,17.687,1.4794022
OGLE-SMC-CEP-0350,00:40:21.99,-73:27:41.8,16.454,16.983,1.7309656999999998
OGLE-SMC-CEP-0351,00:40:23.65,-73:40:24.8,14.195,14.902000000000001,10.3334896
OGLE-SMC-CEP-0352,00:40:24.55,-73:52:43.7,16.014,16.645,3.068572
OGLE-SMC-CEP-0355,00:40:27.67,-73:12:15.6,15.97,16.725,3.1681377
OGLE-SMC-CEP-0356,00:40:28.36,-72:49:08.0,16.629,-99.99,1.8207127
OGLE-SMC-CEP-0357,00:40:28.89,-72:52:40.7,15.190999999999999,15.877,4.9155112
OGLE-SMC-CEP-0359,00:40:29.85,-73:24:04.0,13.755,14.732999999999999,17.4636067
OGLE-SMC-CEP-0360,00:40:29.90,-73:11:33.8,16.709,17.425,1.9133913
OGLE-SMC-CEP-0361,00:40:30.24,-73:04:54.5,16.421,17.059,1.6216093999999999
OGLE-SMC-CEP-0367,00:40:38.17,-74:03:08.2,17.397000000000002,-99.99,1.0972743
OGLE-SMC-CEP-0368,00:40:38.61,-73:13:14.3,13.993,14.787,13.479377900000001
OGLE-SMC-CEP-0370,00:40:40.98,-73:56:42.7,15.562000000000001,-99.99,3.8094115
OGLE-SMC-CEP-0371,00:40:41.58,-73:20:26.4,16.512,17.153,2.2325666
OGLE-SMC-CEP-0372,00:40:43.09,-73:23:06.6,14.421,15.297,10.251954099999999
OGLE-SMC-CEP-0373,00:40:45.21,-74:06:16.9,17.378,17.980999999999998,1.259118
OGLE-SMC-CEP-0374,00:40:46.06,-73:43:01.6,13.147,14.095,28.4414673
OGLE-SMC-CEP-0377,00:40:47.16,-74:05:23.9,16.045,16.749000000000002,3.4913257000000004
OGLE-SMC-CEP-0378,00:40:49.77,-73:17:15.7,15.744000000000002,16.559,2.2481041
OGLE-SMC-CEP-0379,00:40:50.01,-74:04:30.4,17.605999999999998,18.11,1.093682
OGLE-SMC-CEP-0380,00:40:51.64,-73:15:20.0,16.546,17.197,2.0178223
OGLE-SMC-CEP-0381,00:40:54.41,-74:13:49.4,16.73,17.334,1.6915927
OGLE-SMC-CEP-0383,00:40:57.51,-74:42:34.3,16.369,16.875999999999998,2.6227441000000002
OGLE-SMC-CEP-0384,00:41:00.25,-73:52:52.3,15.693,16.395,3.7378782999999998
OGLE-SMC-CEP-0386,00:41:01.33,-73:55:56.7,17.186,17.72,1.2842494
OGLE-SMC-CEP-0387,00:41:03.87,-73:31:39.8,13.982000000000001,14.754000000000001,13.0907701
OGLE-SMC-CEP-0388,00:41:05.89,-73:24:54.4,17.192,17.908,1.4740198999999998
OGLE-SMC-CEP-0389,00:41:06.19,-72:42:59.6,16.627,17.339000000000002,1.9564787000000001
OGLE-SMC-CEP-0390,00:41:07.73,-73:15:16.0,16.865,17.425,1.6303457000000001
OGLE-SMC-CEP-0392,00:41:10.42,-72:33:17.6,15.868,16.572,3.0752094
OGLE-SMC-CEP-0393,00:41:10.78,-73:48:48.3,17.262999999999998,17.885,1.3765098
OGLE-SMC-CEP-0394,00:41:10.98,-73:49:43.0,17.38,18.064,1.2012867
OGLE-SMC-CEP-0395,00:41:14.40,-73:32:34.8,16.219,16.820999999999998,2.306253
OGLE-SMC-CEP-0396,00:41:15.15,-73:05:22.9,16.74,17.367,1.5269412
OGLE-SMC-CEP-0398,00:41:15.84,-72:34:45.2,17.081,17.715,1.2415735
OGLE-SMC-CEP-0401,00:41:20.01,-74:00:35.2,17.407,18.022000000000002,1.2598657
OGLE-SMC-CEP-0402,00:41:21.06,-73:15:23.9,17.059,17.79,1.4617763000000001
OGLE-SMC-CEP-0404,00:41:24.03,-73:21:40.5,14.467,15.135,7.482471
OGLE-SMC-CEP-0406,00:41:26.46,-73:04:36.8,17.784000000000002,18.465,0.9823715000000001
OGLE-SMC-CEP-0407,00:41:27.93,-73:13:17.1,16.945,17.625,1.4665643999999998
OGLE-SMC-CEP-0412,00:41:39.02,-73:00:55.6,15.877,16.69,3.2420726
OGLE-SMC-CEP-0414,00:41:41.52,-74:12:09.5,17.003,17.652,1.7184529
OGLE-SMC-CEP-0416,00:41:42.57,-74:22:11.8,17.445,18.026,1.2495094999999998
OGLE-SMC-CEP-0417,00:41:43.46,-73:43:23.9,10.911,-99.99,128.19674609999998
OGLE-SMC-CEP-0418,00:41:44.70,-73:14:33.2,16.761,17.485,1.812112
OGLE-SMC-CEP-0419,00:41:45.37,-72:59:58.5,16.923,17.643,1.7201374
OGLE-SMC-CEP-0420,00:41:46.14,-73:14:14.8,15.886,16.554000000000002,3.1653084
OGLE-SMC-CEP-0421,00:41:48.54,-73:17:41.2,16.824,17.526,1.6850348999999998
OGLE-SMC-CEP-0423,00:41:49.08,-73:43:42.3,14.261,15.055,12.408810800000001
OGLE-SMC-CEP-0425,00:41:50.66,-73:10:19.8,16.315,16.893,2.1662971
OGLE-SMC-CEP-0427,00:41:52.52,-73:25:25.9,16.097,16.695999999999998,2.4746091
OGLE-SMC-CEP-0428,00:41:52.79,-72:44:31.7,16.722,17.279,1.5971247
OGLE-SMC-CEP-0429,00:41:53.17,-73:09:45.4,16.254,16.849,1.9987473999999998
OGLE-SMC-CEP-0431,00:41:55.49,-73:32:23.7,13.655,14.524000000000001,16.7419693
OGLE-SMC-CEP-0432,00:41:55.58,-73:08:05.0,17.054000000000002,17.785,1.4582007
OGLE-SMC-CEP-0433,00:41:56.32,-72:56:39.6,16.815,17.504,1.5661074
OGLE-SMC-CEP-0434,00:41:57.29,-73:31:24.4,14.314,15.134,10.6808223
OGLE-SMC-CEP-0435,00:41:58.63,-74:09:14.4,17.217,17.827,1.1460034
OGLE-SMC-CEP-0437,00:41:59.52,-73:04:46.4,16.972,17.599,1.3900881
OGLE-SMC-CEP-0438,00:41:59.54,-73:26:13.2,16.441,-99.99,2.4053557
OGLE-SMC-CEP-0439,00:42:00.10,-73:20:19.0,17.165,17.831,1.3051110000000001
OGLE-SMC-CEP-0441,00:42:04.97,-73:38:29.7,16.558,17.158,2.0247034999999998
OGLE-SMC-CEP-0442,00:42:05.79,-73:02:31.5,16.643,17.425,2.0662846
OGLE-SMC-CEP-0443,00:42:06.02,-73:03:41.2,15.671,16.442999999999998,4.037319200000001
OGLE-SMC-CEP-0444,00:42:06.20,-73:17:57.6,14.635,15.487,8.8434024
OGLE-SMC-CEP-0446,00:42:08.17,-72:57:08.9,15.812999999999999,16.402,2.7475142000000004
OGLE-SMC-CEP-0448,00:42:10.73,-73:21:07.8,16.930999999999997,17.548,1.4556836000000002
OGLE-SMC-CEP-0450,00:42:11.78,-73:06:59.9,17.15,17.755,1.2759653
OGLE-SMC-CEP-0454,00:42:14.71,-73:04:04.7,16.840999999999998,17.482,1.4775159
OGLE-SMC-CEP-0455,00:42:15.21,-73:42:43.1,15.687999999999999,16.432000000000002,4.388398400000001
OGLE-SMC-CEP-0457,00:42:19.93,-74:02:09.3,16.712,17.326,1.2833386
OGLE-SMC-CEP-0458,00:42:20.24,-72:36:07.7,16.849,17.526,1.5290161
OGLE-SMC-CEP-0460,00:42:22.08,-73:51:09.8,17.358,17.985,1.4252491000000003
OGLE-SMC-CEP-0462,00:42:22.49,-73:03:25.5,16.974,17.708,1.6518037
OGLE-SMC-CEP-0463,00:42:22.91,-73:22:10.1,16.324,16.989,2.3158507999999998
OGLE-SMC-CEP-0464,00:42:26.49,-72:56:11.5,16.666,17.32,1.7543063
OGLE-SMC-CEP-0467,00:42:33.03,-72:55:47.1,16.495,17.152,2.1655111000000002
OGLE-SMC-CEP-0468,00:42:34.80,-73:25:38.1,17.305999999999997,17.98,1.295073
OGLE-SMC-CEP-0469,00:42:35.08,-73:55:27.1,17.137999999999998,17.793,1.460215
OGLE-SMC-CEP-0470,00:42:35.80,-73:03:48.1,17.412,18.104,1.3125129999999998
OGLE-SMC-CEP-0472,00:42:40.37,-73:46:43.8,16.505,17.383,1.2194639999999999
OGLE-SMC-CEP-0473,00:42:41.16,-73:12:07.4,16.345,16.945,2.0113832
OGLE-SMC-CEP-0474,00:42:41.47,-72:38:55.7,16.689,17.295,1.4563303
OGLE-SMC-CEP-0481,00:42:50.46,-73:14:25.3,16.512,17.262,2.1897515
OGLE-SMC-CEP-0482,00:42:50.68,-74:38:08.1,17.596,18.212,1.0675811000000002
OGLE-SMC-CEP-0483,00:42:50.72,-73:30:18.2,15.649000000000001,16.428,4.2624242
OGLE-SMC-CEP-0484,00:42:51.79,-73:03:12.3,17.119,17.745,1.3445585
OGLE-SMC-CEP-0485,00:42:51.83,-73:51:41.2,16.171,-99.99,2.6382866000000003
OGLE-SMC-CEP-0486,00:42:53.20,-72:29:32.7,16.545,17.237000000000002,2.062178
OGLE-SMC-CEP-0487,00:42:55.45,-73:21:08.1,17.441,18.201,1.0822838
OGLE-SMC-CEP-0489,00:42:56.07,-73:09:35.6,15.822000000000001,16.493,3.241756
OGLE-SMC-CEP-0492,00:42:56.80,-73:07:20.1,16.515,17.208,2.0081585
OGLE-SMC-CEP-0494,00:42:58.06,-73:20:05.6,15.025,15.884,4.7581508
OGLE-SMC-CEP-0495,00:42:58.32,-73:05:30.2,15.217,16.038,6.311806
OGLE-SMC-CEP-0496,00:42:58.52,-73:07:23.9,16.951,17.605,1.5125407
OGLE-SMC-CEP-0497,00:42:59.02,-73:10:04.3,16.539,17.117,1.7308416000000002
OGLE-SMC-CEP-0498,00:42:59.12,-73:38:53.6,17.005,-99.99,1.3805341
OGLE-SMC-CEP-0499,00:43:00.16,-73:18:15.2,15.258,15.985999999999999,6.2287886
OGLE-SMC-CEP-0501,00:43:00.24,-73:10:28.4,16.944000000000003,17.644000000000002,1.6142195
OGLE-SMC-CEP-0502,00:43:00.55,-72:58:10.5,16.722,17.326,1.5877347
OGLE-SMC-CEP-0503,00:43:00.63,-73:05:28.9,17.151,17.814,1.3000148
OGLE-SMC-CEP-0504,00:43:02.12,-73:10:29.5,15.762,16.543,1.850813
OGLE-SMC-CEP-0505,00:43:02.38,-73:08:56.5,17.283,17.942,1.1884114
